Category, Per Capita Consumption 
2002-01-01,611.16
2003-01-01,642.26
2004-01-01,660.0438507
2005-01-01,720.43
2006-01-01,805.5
2007-01-01,843.67
2008-01-01,854.35
2009-01-01,903.2374039
2010-01-01,925.024179
2011-01-01,1081.347369
2012-01-01,1129.091154
2013-01-01,1179.231624
2014-01-01,1211.460573
2015-01-01,1242.305968
2016-01-01,1367.098196
2017-01-01,1355.765795
